ID	TRI	textTitle-freetext	Form	status	shelfmark	range_views	Date	Scripta
btv1b90583481_Chanson-de-saint-Alexis_Chanson-de-saint-Alexis	Chanson de saint Alexis	Chanson de saint Alexis	verse		français 12471	59-81	1301-1305
btv1b90617013_Ami-et-Amile--Version-en-alexandrins-_Ami-et-Amile-Version-en-alexandrins-	Ami et Amile (Version en alexandrins)	Ami et Amile (Version en alexandrins)			français 12547	3-165	1446-1455
btv1b9061047p_Anseïs-de-Carthage_Anseïs-de-Carthage	Anseïs de Carthage	Anseïs de Carthage			français 12548	4-84	1201-1300
btv1b9061047p_Beuve-de-Hantone_Version-continentale-II	Beuve de Hantone	Version continentale II	verse		français 12548	84-216	1201-1300
btv1b90632292_Bastard-de-Bouillon_Bastard-de-Bouillon	Bastard de Bouillon	Bastard de Bouillon	verse		français 12552	139-174	1346-1355
btv1b90632292_Baudouin-de-Sebourc_Baudouin-de-Sebourc	Baudouin de Sebourc	Baudouin de Sebourc	verse		français 12552	2-139	1346-1355
btv1b90609640_Baudouin-de-Sebourc_Baudouin-de-Sebourc	Baudouin de Sebourc	Baudouin de Sebourc	verse		français 12553	3-385	1440-1450
btv1b90615215_Beuve-de-Hantone_Version-en-prose	Beuve de Hantone	Version en prose	prose		français 12554	5-365	1455-1465
btv1b9060811h_Conqueste-de-Jerusalem_Conqueste-de-Jerusalem	Conqueste de Jerusalem	Conqueste de Jerusalem	verse		français 12558	284-402	1301-1400
btv1b9060811h_Chevalier-au-cygne_Première-version-en-vers	Chevalier au cygne	Première version en vers	verse		français 12558	6-120	1301-1400
btv1b9060811h_chanson-d-Antioche_Version-du-XIIe-siècle	chanson d'Antioche	Version du XIIe siècle	verse		français 12558	123-284	1301-1400
btv1b104650798_Dame-à-la-licorne-et-beau-chevalier-au-lion_Roman-de-la-dame-à-la-licorne-et-du-beau-chevalier-au-lion	Dame à la licorne et beau chevalier au lion	Roman de la dame à la licorne et du beau chevalier au lion			français 12562	7-141	1349-1350
btv1b104650798_Floire-et-Blancheflor-_Version-I-dite-aristocratique	Floire et Blancheflor 	Version I dite aristocratique			français 12562	143-184	1401-1500
btv1b9061633q_Doon-de-Mayence_Doon-de-Mayence	Doon de Mayence	Doon de Mayence	verse		français 12563	3-134	1463
btv1b9060960b_Florent-et-Octavien_Version-en-alexandrins	Florent et Octavien	Version en alexandrins	verse		français 12564	3-257	1462
btv1b9009541r_roman-d-Alexandre_roman-d-Alexandre	roman d'Alexandre	roman d'Alexandre			français 12567	4-211	1301-1320
btv1b10033665m_Conqueste-de-Jerusalem_Conqueste-de-Jerusalem	Conqueste de Jerusalem	Conqueste de Jerusalem	verse		français 12569	325-440	1251-1275
btv1b10033665m_Chevalier-au-cygne_Première-version-en-vers	Chevalier au cygne	Première version en vers	verse		français 12569	5-176	1251-1275
btv1b10033665m_chretienté-Corbaran_chretienté-Corbaran	chretienté Corbaran	chretienté Corbaran	verse		français 12569	440-451	1251-1275
btv1b10033665m_chétifs_chétifs	chétifs	chétifs	verse		français 12569	452-538	1251-1275
btv1b10033665m_chanson-d-Antioche_Version-du-XIIe-siècle	chanson d'Antioche	Version du XIIe siècle	verse		français 12569	177-325	1251-1275
btv1b10525469d_Melusine_Melusine	Melusine	Melusine			français 12575	15-270	1420-1430
btv1b90633050_Ponthus-et-Sidoine_Ponthus-et-Sidoine	Ponthus et Sidoine	Ponthus et Sidoine			français 12579	4-138	1401-1500
btv1b107213177_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 12582	5-85	1251-1300
btv1b60004128_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 12599	220-448, 1007-1028	1276-1300
btv1b9060922n_Du-chevalier-as-deus-espees_Du-chevalier-as-deus-espees	Du chevalier as deus espees	Du chevalier as deus espees			français 12603	3-76	1301-1320
btv1b9060922n_Roman-d-Énéas_Roman-d-Énéas	Roman d’Énéas	Roman d’Énéas	verse		français 12603	118-162	1301-1320
btv1b9060922n_enfances-Ogier_enfances-Ogier	enfances Ogier	enfances Ogier	verse		français 12603	163-210	1301-1320
btv1b9060922n_Fierabras_Fierabras	Fierabras	Fierabras	verse		français 12603	210-246	1301-1320
btv1b9060922n_Lai-de-l-Ombre_Lai-de-l-Ombre	Lai de l’Ombre	Lai de l’Ombre	verse		français 12603	258-263	1301-1320
