ID	TRI	textTitle-freetext	Form	status	shelfmark	range_views	Date	Scripta
btv1b90601825_Aimeri-de-Narbonne_prose-Chronique-de-France	Aimeri de Narbonne	prose: Chronique de France	prose	translation or rewriting	nouvelles acquisitions françaises 5003	3-378	1481-1520
btv1b6000371s_Mainet_	Mainet		verse		nouvelles acquisitions françaises 5094	7-18	1201-1400
btv1b6000371s_couronnement-de-Louis_couronnement-de-Louis	couronnement de Louis	couronnement de Louis	verse		nouvelles acquisitions françaises 5094	87-88	1201-1400
btv1b6000371s_Otinel_Otinel	Otinel	Otinel	verse		nouvelles acquisitions françaises 5094	19-22	1201-1400
btv1b6000371s_Aspremont_Aspremont	Aspremont	Aspremont			nouvelles acquisitions françaises 5094	23	1201-1400
btv1b10089846m_Roland_Fragment-Michelant	Roland	Fragment Michelant	verse		nouvelles acquisitions françaises 5237	24-27	1201-1400
btv1b550063539_Meliadus_Meliadus	Meliadus	Meliadus	mixed		nouvelles acquisitions françaises 5243	7-190	1370-1380
btv1b10073773r_departement-des-enfans-Aimeri_Version-C	departement des enfans Aimeri	Version C	verse		nouvelles acquisitions françaises 6298	3-6	1201-1300
btv1b10073773r_Guibert-d-Andrenas_Guibert-d-Andrenas	Guibert d'Andrenas	Guibert d'Andrenas	verse		nouvelles acquisitions françaises 6298	27-31	1201-1300
btv1b10073773r_mort-Aymeri-de-Narbonne_mort-Aymeri-de-Narbonne	mort Aymeri de Narbonne	mort Aymeri de Narbonne	verse		nouvelles acquisitions françaises 6298	32-35	1201-1300
btv1b10073773r_Siege-de-Barbastre_Siege-de-Barbastre	Siege de Barbastre	Siege de Barbastre	verse		nouvelles acquisitions françaises 6298	7-13, 14-18	1201-1300
btv1b6000417b_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		nouvelles acquisitions françaises 6579	7-465	1281-1300
btv1b6000370c_charroi-de-Nimes_charroi-de-Nimes	charroi de Nimes	charroi de Nimes	verse		nouvelles acquisitions françaises 934	8-9	1201-1600
btv1b6000370c_Chanson-de-saint-Alexis_Chanson-de-saint-Alexis	Chanson de saint Alexis	Chanson de saint Alexis			nouvelles acquisitions françaises 934	61-65	1201-1600
btv1b6000370c_Aliscans_Aliscans	Aliscans	Aliscans	verse	fragment	nouvelles acquisitions françaises 934	11-18	1201-1600
btv1b52513424t_Garin-de-Monglane_Version-en-vers	Garin de Monglane	Version en vers			nouvelles acquisitions latines 2381	86-89	1201-1300
bpt6k8713300j_Galien-le-restoré_Version-en-prose-2	Galien le restoré	Version en prose 2	prose		 	13-247	1500
bpt6k8713143m_Valentin-et-Orson_Mise-en-prose-du-XVe-siècle	Valentin et Orson	Mise en prose du XVe siècle	prose		 	8-277	1489
